number;url;source_type;menu_hierarchy;challenge_label;challenge_desc,
21;http://www.slovenskimed.si/Si/;spletna stran;;F.;F.     INTEGRACIJA PODATKOV PONUDBE čebeljih izdelkov in storitev v rešitev,
22;https://www.czs.si/oglas.php;spletna stran;;F.;F.     INTEGRACIJA PODATKOV PONUDBE čebeljih izdelkov in storitev v rešitev,
23;https://www.apiturizem.si/;spletna stran;;G.;G.      INTEGRACIJA PODATKOV APITURIZMA v rešitev,
"1;https://www.youtube.com/watch?v=7a-uQ11EUR0;video;(Osnovna odbira);A. ;""A.     Geografska koordinata lokacije in tip čebelnjaka (Trikotnik - registrirani stacionarni; začasni; Kvadratek – stojišča;  Rdeče pike – vzreja matic).""",
2;https://www.youtube.com/watch?v=SrWBHdyVOMI;video;Huda gniloba čebelje zalega;B;B. Prikaz OBMOČJA BOLEZNI (Rdeči krogi) ter interpretacija vpliva bolezni na ukrepe čebelarja: -  3-km krogi okoli žarišča izbruha bolezni, premiki čebeljih družin
3;https://www.czs.si/Upload/files/ZLOZENKA%20;pdf;(Varoza);B;B. Prikaz OBMOČJA BOLEZNI (Rdeči krogi) ter interpretacija vpliva bolezni na ukrepe čebelarja: -  3-km krogi okoli žarišča izbruha bolezni, premiki čebeljih družin
4;https://www.czs.si/Upload/PODRIZNIK%20%20Medovite%20rastline.pdf;pdf;;C;C.    INTEGRACIJA PODATKOV MEDENJA in medovitih rastlin v rešitev,
5;https://www.czs.si/Upload/SIVIC%20Cebelje%20pase.pdf;pdf;;C;C.     INTEGRACIJA PODATKOV MEDENJA in medovitih rastlin v rešitev,
6;https://www.czs.si/Upload/PODRIZNIK%20%20Gozdne%20pase.pdf;pdf;;C;C.     INTEGRACIJA PODATKOV MEDENJA in medovitih rastlin v rešitev,
7;https://www.czs.si/Upload/files/medovite%20rastline.pdf;pdf;;C;C.     INTEGRACIJA PODATKOV MEDENJA in medovitih rastlin v rešitev,
8;https://vimeo.com/user104873822;video;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
9;https://www.czs.si/Files/promocija44.jpg;picture;;D;D.     INTEGRACIJA PODATKOV mesečnih ČEBELARSKIH OPRAVIL z razlago (kdaj & kaj) v rešitev,
10;https://www.czs.si/Files/promocija45.pdf;pdf;;E;E.      INTEGRACIJA PODATKOV UPORABE ČEBELAM NEVARNIH FFS-jev v rešitev,
