HGCZ_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
63491,538925,91342,22.08.16,12.04.17
43020,538470,93374,22.08.16,07.03.17
55227,459570,99663,22.08.16,22.06.17
46363,538768,83929,19.06.16,10.05.17
62058,538777,83998,19.09.16,10.05.17
31826,586785,170688,19.09.16,10.04.17
57190,546076,124359,15.09.16,31.03.17
32971,546051,124345,23.09.16,03.04.17
38977,491201,96568,30.09.16,12.10.17
49923,556805,130899,11.01.17,13.04.17
31898,571490,163601,24.01.17,02.08.17
57651,546012,155916,08.03.17,03.10.17
39383,485926,86008,14.06.16,28.03.17
46885,444106,91804,10.04.17,28.08.17
37814,443892,91888,10.04.17,23.08.17
54491,469921,102075,18.04.17,09.04.18
33359,547208,157499,14.04.17,03.10.17
31457,543189,78710,02.06.16,09.05.17
31492,538565,84095,21.09.16,18.05.17
55159,456437,98930,25.05.17,27.03.18
61498,569641,165717,17.05.17,02.08.17
47381,572908,170602,29.05.17,26.04.18
41626,548078,157749,29.05.17,03.10.17
55658,545183,156422,31.05.17,03.10.17
57001,543785,155659,31.05.17,19.09.17
39982,516056,98940,23.06.17,03.10.17
36167,475174,107322,06.07.17,24.10.17
58724,573630,157241,05.07.17,03.10.17
55954,468734,98401,14.07.17,10.04.18
46997,517162,98059,20.07.17,16.04.18
50543,517388,119098,24.07.17,09.05.18
31780,557323,134755,27.07.17,14.08.18
62128,518815,99257,03.08.17,06.10.17
42982,455391,98557,03.08.17,28.03.18
59255,518315,97513,03.08.17,06.10.17
35913,587282,158467,01.08.17,19.10.17
41376,518189,119644,14.08.17,04.06.18
36158,466840,99247,22.08.17,24.08.18
46729,527447,124533,24.08.17,09.05.18
31621,518244,120256,31.08.17,11.05.18
64832,455015,96132,11.09.17,28.03.18
42609,482892,88241,12.09.17,09.05.18
45289,464639,100546,12.09.17,18.06.18
31396,587024,159333,14.09.17,19.10.17
44749,555537,134738,14.09.17,14.08.18
62366,455231,101579,15.09.17,05.07.18
30853,479538,89055,15.09.17,09.05.18
32354,467093,99807,15.09.17,13.04.18
32333,467113,100310,18.09.17,13.04.18
36321,454187,101856,05.10.17,19.06.18
46789,553312,133389,29.09.17,04.05.18
62108,478175,91187,24.10.17,29.05.18
