LOKACIJA_IZH,Y,X,LOKACIJA_DEST,Y_DEST,X_DEST,DATE_MOVE
55934,539976,159981,30367,564148,163752,04.09.20
55934,539976,159981,30367,564148,163752,06.08.21
31623,539627,159762,30367,564148,163752,21.08.13
66221,613140,160315,30369,600344,159255,22.05.17
60534,597819,181264,30369,600344,159255,01.07.15
60533,583338,188841,30369,600344,159255,01.07.15
55669,608901,160402,30370,600344,159255,28.04.14
79199,447710,47985,30371,436440,53250,29.09.20
77253,400426,86811,30371,436440,53250,14.05.20
71259,396289,119837,30371,436440,53250,03.09.18
35911,585999,155921,30379,615856,152326,17.04.21
55771,610399,159034,30394,598567,160862,26.04.14
30942,610289,161709,30400,436216,45540,26.04.12
31627,529014,155786,31585,491109,128682,14.04.18
59127,402096,82294,31586,436864,84606,20.05.15
57590,516430,60856,31586,436864,84606,02.07.14
77524,443492,81025,31603,442683,80189,08.10.20
70678,442904,83241,31603,442683,80189,12.12.18
67955,466371,96735,31603,442683,80189,21.07.17
66603,407753,81957,31603,442683,80189,31.05.17
58717,396422,36282,31603,442683,80189,26.05.15
42533,528327,127631,31613,523105,122110,25.04.13
40436,524433,125383,31613,523105,122110,30.03.15
40436,524433,125383,31613,523105,122110,02.04.20
40436,524433,125383,31614,548117,115899,14.04.18
40436,524433,125383,31617,522844,118924,18.04.12
35044,532134,111931,31617,522844,118924,06.05.13
76757,553778,151853,31623,539627,159762,08.04.20
66262,539278,164333,31623,539627,159762,10.05.17
65908,534108,156360,31623,539627,159762,14.04.21
48051,537477,156070,31623,539627,159762,16.04.12
35758,551264,155306,31623,539627,159762,30.04.13
30367,564148,163752,31623,539627,159762,17.06.12
30367,564148,163752,31623,539627,159762,15.05.13
42001,596832,160937,31624,530483,158075,12.04.14
50358,602235,162201,31627,529014,155786,26.06.15
50357,586904,182557,31627,529014,155786,30.06.16
34959,494051,148849,31661,530109,155546,09.07.12
48583,555498,156371,32848,493306,156362,15.04.21
32833,492100,158673,32848,493306,156362,26.04.12
32859,494993,156560,32860,490594,161790,23.06.19
42065,598610,156115,32872,598662,181115,28.04.15
34938,503649,132041,32899,598141,154207,24.04.13
42563,498319,72503,32906,472336,67083,14.04.20
31743,505553,39804,32906,472336,67083,05.04.16
40436,524433,125383,30418,444961,53495,31.03.19
81041,541291,160787,30420,603659,161468,05.08.21
81040,541291,160787,30420,603659,161468,05.08.21
81039,533063,155392,30420,603659,161468,05.08.21
81038,533063,155392,30420,603659,161468,05.08.21
78102,533063,155392,30420,603659,161468,06.08.20
74484,533063,155392,30420,603659,161468,13.08.19
74486,541234,160762,30420,603659,161468,12.08.19
67300,533063,155392,30420,603659,161468,09.08.17
67301,533063,155392,30420,603659,161468,09.08.17
62930,539210,162323,30420,603659,161468,06.08.20
70944,539277,154199,30423,600121,157437,03.08.19
70944,539277,154199,30423,600121,157437,03.08.20
70944,539277,154199,30423,600121,157437,03.08.21
67503,539169,154211,30423,600121,157437,21.07.17
57509,539169,154211,30423,600121,157437,07.08.14
75820,597568,155737,30441,593930,159922,02.10.19
35742,554421,168617,30465,539598,160503,18.04.19
70533,548735,155775,30472,546849,161935,17.07.18
31755,586907,151444,31675,591531,159091,04.07.19
31755,586907,151444,31675,591531,159091,13.09.20
31754,586875,151460,31675,591531,159091,13.09.20
78185,541348,160465,31676,592799,157392,12.09.20
42054,496229,129580,31688,483297,136954,20.04.18
81331,539234,161090,31702,604148,160656,16.07.21
70930,538882,161177,31702,604148,160656,11.07.18
70926,536454,155737,31702,604148,160656,11.07.18
77149,599300,162974,31703,611525,159450,11.05.20
77148,599300,162974,31703,611525,159450,12.05.20
42929,604143,160657,31703,611525,159450,23.04.19
31702,604148,160656,31703,611525,159450,23.04.19
56911,462585,88390,31710,470622,107221,21.08.14
60046,480339,127126,31710,470622,107221,30.08.15
53972,480339,127131,31710,470622,107221,23.08.13
50495,515679,119027,31726,475720,114573,07.06.16
50413,536052,134718,31726,475720,114573,16.04.14
79000,449525,67744,31733,470622,107221,22.08.20
75904,474075,115972,31733,470622,107221,28.10.19
68624,474758,115216,31733,470622,107221,29.10.19
59063,402730,88395,31733,470622,107221,28.08.15
57943,437149,83972,31733,470622,107221,21.08.14
53970,458209,91601,31733,470622,107221,23.08.13
34815,540304,128037,33101,530352,134517,08.04.13
78316,401774,114869,33123,539460,133428,04.08.20
36298,540810,160456,33123,539460,133428,03.08.18
75116,535966,154241,33124,535001,132526,23.08.19
64186,429288,148865,33124,535001,132526,09.09.16
36418,546441,150398,33124,535001,132526,16.09.20
36298,540810,160456,33124,535001,132526,07.08.18
71044,546846,150024,33127,535151,128687,05.08.18
64188,525354,139257,33127,535151,128687,10.09.16
78700,540994,141182,33128,540364,132715,04.08.20
75117,540994,141182,33128,540364,132715,23.08.19
69350,541011,141215,33128,540364,132715,03.08.18
67042,482130,128046,33128,540364,132715,14.07.17
64189,540994,141182,33128,540364,132715,08.09.16
75115,535966,154241,33129,535001,132526,23.08.19
64187,426973,147795,33129,535001,132526,09.09.16
49874,570872,138097,33129,535001,132526,20.09.20
36298,540810,160456,33129,535001,132526,06.08.18
40284,503006,127137,33148,425150,106911,14.04.20
75663,456630,85312,33155,487547,90641,08.08.19
74118,594272,171246,33155,487547,90641,01.06.19
71452,480484,103453,33155,487547,90641,28.06.18
33158,488354,91388,33155,487547,90641,17.05.20
53339,552101,151157,30481,539799,157814,04.04.15
35324,581216,144976,30536,580273,140819,14.04.16
73908,398639,90815,31747,489649,86816,17.05.19
31409,586664,160024,31751,588486,154152,12.06.17
