CEBELNJAK_LOKACIJA,Y,X,DAT_ZACETEK,DAT_PRENEHANJE
42185,446722,60126,14.06.06,23.01.09
42191,484150,64691,15.06.06,02.10.08
42927,434517,68965,19.06.07,
42928,435692,70208,19.06.07,
43266,552135,137702,07.11.07,15.09.16
42211,544449,154941,22.06.06,22.08.08
42234,394965,41947,29.06.06,18.11.19
42235,549155,79408,30.06.06,
42929,604143,160657,21.06.07,
42930,546208,148111,21.06.07,
42931,561609,138934,21.06.07,
42933,400381,85951,21.06.07,
42934,400381,85951,21.06.07,
42935,400381,85951,21.06.07,29.08.16
42950,501737,112620,28.06.07,
42951,501737,112620,28.06.07,09.05.17
42254,394474,92509,04.07.06,13.02.14
42267,479113,121090,13.07.06,
42278,489989,98813,14.07.06,
42279,492267,99894,14.07.06,
42748,480730,57041,19.03.07,
42758,437998,130852,19.03.07,
42357,496745,123126,26.07.06,
42381,414954,77473,27.07.06,20.02.12
42395,463677,97926,03.08.06,
42759,507832,123007,26.03.07,
42977,455054,123724,11.07.07,
43301,549221,145794,03.12.07,03.01.18
43302,516893,77616,03.12.07,17.04.18
43303,549207,145821,03.12.07,03.01.18
43307,435736,136923,05.12.07,26.08.08
43308,421120,132736,05.12.07,26.04.13
42296,395297,120825,17.07.06,10.06.19
42298,552622,90699,17.07.06,13.03.19
42299,396636,83585,17.07.06,
42300,396636,83585,17.07.06,
42301,396636,83585,17.07.06,
42302,405217,81209,17.07.06,
42310,515652,75371,18.07.06,
42332,533180,92751,20.07.06,
42339,467109,91892,21.07.06,
42349,539078,140761,24.07.06,
42768,474337,111892,10.04.07,
43312,544696,80518,11.12.07,
43313,544587,80880,11.12.07,
42450,601221,159356,25.08.06,
42458,410452,49258,25.08.06,
42993,559995,135268,31.07.07,
42997,574058,139213,31.07.07,
43003,575606,138528,01.08.07,
43004,575403,140430,02.08.07,13.01.12
43019,416528,75438,03.08.07,
42468,450136,126369,30.08.06,15.01.16
42471,535663,79932,30.08.06,20.01.12
42479,467446,100755,01.09.06,
42494,597191,160599,04.09.06,
42499,544399,83288,05.09.06,01.12.20
42505,599447,159681,06.09.06,
42513,549696,121148,07.09.06,10.08.12
43031,435126,59113,13.08.07,
43034,527586,130897,14.08.07,18.11.09
43037,442844,80468,21.08.07,21.03.12
43444,389304,124083,14.12.07,15.12.20
42538,529928,130246,12.09.06,
42801,421987,99175,24.04.07,
42803,463034,118923,24.04.07,
42805,559609,155345,24.04.07,
42814,389883,79269,25.04.07,
42578,562427,161714,27.09.06,
42603,541150,90789,29.09.06,23.03.12
42609,482892,88241,02.10.06,
42605,542582,89985,29.09.06,
42610,482892,88241,02.10.06,
42614,552203,158390,02.10.06,
42822,589485,161078,26.04.07,
42623,416876,82287,04.10.06,03.07.15
42625,520193,60607,04.10.06,
42628,414217,46091,05.10.06,
42635,595397,157574,09.10.06,
42643,535216,92711,11.10.06,
43799,593313,161475,27.12.07,
43800,593313,161475,27.12.07,25.10.17
42684,400961,113656,10.11.06,15.07.09
42853,417359,76096,14.05.07,15.06.16
42858,563430,134746,14.05.07,
42859,562244,133076,14.05.07,
42860,561022,130283,14.05.07,
42861,559625,128689,14.05.07,
42862,560005,134312,14.05.07,
42132,561268,146380,04.05.06,15.04.16
42137,529050,76255,05.05.06,09.09.16
42869,405042,71337,15.05.07,03.01.18
42870,402248,72428,16.05.07,10.09.18
42871,410910,75614,16.05.07,05.07.13
42872,508884,124002,17.05.07,
42873,400437,116253,17.05.07,09.07.10
42875,597180,191885,17.05.07,
42876,597180,191885,17.05.07,
42877,552409,170122,17.05.07,14.04.20
42884,465170,104544,18.05.07,
42897,473956,118806,21.05.07,
42900,402997,71150,21.05.07,
43213,548986,152511,19.10.07,
43287,465440,117522,19.10.07,29.08.16
43216,543148,103996,19.10.07,
43219,466481,118207,22.10.07,
43220,473235,119372,22.10.07,
42149,417621,76872,10.05.06,05.03.21
42154,456065,96399,17.05.06,17.05.18
44511,552169,85458,02.06.08,12.10.10
45299,441855,84159,12.09.08,24.10.16
48289,450991,77173,15.12.10,
48369,398032,39624,01.02.11,
48355,609942,158157,28.01.11,03.02.11
48357,388446,126329,28.01.11,
48319,545071,150430,10.01.11,04.02.16
48361,517280,58264,31.01.11,
48363,450398,123118,31.01.11,
49495,586022,149815,27.09.11,
49503,565705,141137,29.09.11,15.07.15
49509,467935,119303,30.09.11,
49511,515247,67442,30.09.11,
48394,437119,56499,10.02.11,
48409,483796,119649,14.02.11,02.09.16
48410,483796,119649,14.02.11,02.09.16
48415,458240,71687,15.02.11,04.07.13
48437,430847,100593,15.02.11,
48455,591733,170772,16.02.11,
48501,442193,135282,02.03.11,
48507,462885,70388,07.03.11,
48513,507740,78412,09.03.11,
48527,417496,82142,10.03.11,03.07.12
48529,464166,103407,10.03.11,
48531,460430,112292,10.03.11,
48547,444124,124340,21.03.11,21.01.20
48549,400619,115953,21.03.11,
48563,435560,112107,24.03.11,
48565,581667,159926,28.03.11,
48567,471306,115367,28.03.11,03.03.20
48571,421141,143105,28.03.11,09.06.20
48579,463056,110670,29.03.11,
48585,462566,121426,30.03.11,
48597,555384,100395,31.03.11,
48599,488754,57785,31.03.11,05.02.18
48601,555442,100302,31.03.11,
48607,445798,96657,05.04.11,
48619,439215,111329,05.04.11,
48623,409174,69367,06.04.11,
48631,443052,112102,06.04.11,22.01.20
48637,415522,58173,07.04.11,
48639,416850,49124,07.04.11,09.03.20
48643,421433,49378,07.04.11,19.05.20
48647,447627,114132,08.04.11,
48648,490538,40866,08.04.11,
48651,418806,75347,11.04.11,
48652,418806,75347,11.04.11,
48653,545258,155794,11.04.11,
48655,484262,83054,12.04.11,08.03.19
48657,552113,85435,13.04.11,
48659,540441,120644,13.04.11,
48671,450177,99354,15.04.11,11.11.16
48680,394965,41947,15.04.11,18.11.19
48681,436588,109697,20.04.11,05.03.21
48683,471373,114201,20.04.11,12.02.20
48691,454608,116109,20.04.11,23.02.16
48693,464856,124313,20.04.11,
48705,400075,37981,21.04.11,05.03.21
48708,472108,98116,21.04.11,
48711,526670,131066,21.04.11,14.02.13
48713,412639,129451,21.04.11,
48715,490906,105236,04.05.11,21.03.19
48717,443343,135534,04.05.11,
48718,443343,135534,04.05.11,
48719,443343,135534,04.05.11,
48721,503669,67673,04.05.11,21.04.15
48727,467409,121371,04.05.11,
48737,452683,94899,09.05.11,21.12.20
48739,454544,96383,09.05.11,27.09.17
48759,527337,90903,13.05.11,26.06.18
48789,565705,141137,24.05.11,25.01.16
48793,446939,126073,30.05.11,25.04.19
48794,456781,109706,30.05.11,05.02.18
48795,515125,77604,30.05.11,06.12.16
48797,409620,48641,30.05.11,
48829,464497,100419,06.06.11,19.09.17
48834,409491,78287,06.06.11,
48854,452823,129247,07.06.11,
48857,609942,158157,08.06.11,
48863,576373,148281,08.06.11,
48873,466807,105537,09.06.11,
48877,520977,92581,09.06.11,
48887,573418,141361,09.06.11,
48890,591671,154897,09.06.11,25.10.18
48915,411098,34454,14.06.11,
48922,473503,71190,14.06.11,
48928,581285,149307,15.06.11,
48932,589353,161237,16.06.11,22.08.17
48938,416454,106933,17.06.11,
48951,533433,89397,23.06.11,
48956,437998,130852,23.06.11,
48981,503086,115949,07.07.11,
48993,427244,80837,11.07.11,
49000,456216,129771,11.07.11,
49001,581892,177152,11.07.11,
49005,566500,131236,12.07.11,
49010,477377,68832,12.07.11,
49012,544971,160142,12.07.11,16.01.17
49014,531087,155402,12.07.11,
49028,502469,68109,13.07.11,
49029,503271,68450,14.07.11,
49046,486878,87807,18.07.11,
49050,467293,102113,19.07.11,
49079,599837,167194,27.07.11,
49107,539289,79549,01.08.11,
49117,444640,75736,01.08.11,
49127,391604,39998,01.08.11,11.12.17
49130,487995,107198,02.08.11,
49153,612659,156532,03.08.11,07.04.17
49155,455414,123300,03.08.11,
49157,412553,49586,03.08.11,
49201,469312,89025,05.08.11,02.07.13
49211,417593,81158,08.08.11,
49242,520580,43292,10.08.11,
49248,411214,44987,10.08.11,03.01.19
49263,576688,138695,11.08.11,
49273,393440,38841,12.08.11,
49284,437749,59862,16.08.11,
49306,443323,46361,17.08.11,
49343,458429,107661,24.08.11,25.10.18
49348,535760,91953,24.08.11,23.01.13
49360,471119,122169,24.08.11,
49397,418323,77092,25.08.11,18.12.18
49473,479528,90914,21.09.11,
49482,443034,46410,22.09.11,
49485,413941,41137,26.09.11,13.02.20
49525,447280,124243,04.10.11,
49546,505292,64340,13.10.11,09.07.14
49580,469450,105167,27.10.11,
49581,471645,112301,27.10.11,
49587,401973,95377,28.10.11,25.10.18
49589,415378,88989,28.10.11,
49623,447960,115652,14.11.11,
49629,580211,168710,16.11.11,25.10.18
49637,462118,95701,18.11.11,
49649,416581,52020,25.11.11,
49669,492668,39392,07.12.11,
49671,522958,45142,07.12.11,
49681,455135,122176,12.12.11,01.06.20
49683,490057,37362,12.12.11,
49703,429903,56817,19.12.11,30.11.18
49715,404594,88764,20.12.11,
49726,551296,173678,22.12.11,
49735,534095,107530,04.01.12,
49751,419880,71947,20.01.12,04.10.16
49789,601148,155658,24.01.12,
49793,420773,82992,25.01.12,09.05.19
49799,403944,44669,25.01.12,
49852,441895,59914,31.01.12,
49853,441895,59914,31.01.12,
49874,570872,138097,03.02.12,
49875,574293,138529,03.02.12,
49885,592024,168361,09.02.12,30.06.16
49891,491528,69813,10.02.12,30.06.16
49897,411554,76887,14.02.12,
49905,559481,159984,17.02.12,19.07.18
49933,436848,56457,29.02.12,
49949,389639,99877,05.03.12,15.12.20
49953,416743,76202,06.03.12,
49955,515120,66452,06.03.12,
49956,515120,66452,06.03.12,
49957,515120,66452,06.03.12,
49958,515120,66452,06.03.12,
49963,463343,114086,07.03.12,
49970,497691,85824,09.03.12,
49975,602192,162839,12.03.12,
49981,398065,92515,14.03.12,25.10.18
49983,404799,101514,14.03.12,
49985,405336,105694,14.03.12,
49999,458490,75582,21.03.12,
